Legacy_Ref_ID,Legacy_Qty,Legacy_Weight,Legacy_Cost,Legacy_Safety_Stock,Legacy_Volume,Legacy_Description,Legacy_Batch,Legacy_Status,Legacy_Region,Legacy_Type,Legacy_Priority,Legacy_Warehouse_Code,Legacy_Material_Group,Legacy_Lifecycle
REF-29245,58,50,153,5,50,Item_Desc_73,B158,Closed,South,Service,Low,WH02,Chem,New
REF-14523,86,19,205,1,37,Item_Desc_14,B290,Hold,South,Service,High,WH02,Chem,New
REF-62571,73,30,296,5,8,Item_Desc_17,B933,Active,South,Raw,Low,WH03,Mech,New
REF-68868,40,19,248,9,57,Item_Desc_620,B956,Active,North,Service,High,WH01,Mech,Mature
REF-37709,67,36,389,14,83,Item_Desc_362,B139,Closed,South,Service,High,WH02,Chem,EndOL
REF-64957,59,15,146,16,66,Item_Desc_612,B228,Active,South,Finished,Medium,WH01,Elec,Mature
REF-69990,74,31,208,4,81,Item_Desc_709,B254,Closed,North,Service,Medium,WH02,Elec,New
REF-98086,34,18,176,15,25,Item_Desc_492,B551,Hold,West,Finished,High,WH99,Chem,Mature
REF-97514,73,31,173,16,28,Item_Desc_885,B917,Hold,South,Raw,High,WH02,Chem,New
REF-17996,79,48,493,17,10,Item_Desc_322,B907,Closed,West,Finished,Medium,WH02,Chem,Mature
REF-37017,98,24,317,9,61,Item_Desc_172,B437,Active,North,Raw,Medium,WH02,Mech,Mature
REF-59141,91,23,254,16,73,Item_Desc_506,B337,Active,South,Finished,Medium,WH02,Chem,New
REF-27872,35,33,198,18,66,Item_Desc_69,B985,Hold,West,Service,Low,WH01,Elec,New
REF-42608,39,21,416,12,39,Item_Desc_603,B932,Hold,South,Finished,High,WH99,Mech,New
REF-39328,22,42,132,20,14,Item_Desc_87,B757,Hold,North,Service,Low,WH99,Elec,Mature
REF-31024,23,13,144,7,50,Item_Desc_622,B327,Hold,West,Finished,Medium,WH03,Chem,EndOL
REF-14181,32,18,66,2,66,Item_Desc_854,B403,Closed,North,Raw,High,WH03,Mech,Mature
REF-78382,44,11,324,17,66,Item_Desc_924,B124,Hold,South,Raw,High,WH02,Mech,EndOL
REF-85211,19,30,210,9,73,Item_Desc_272,B910,Closed,West,Finished,Medium,WH99,Chem,EndOL
REF-63398,41,28,136,5,5,Item_Desc_324,B328,Closed,West,Service,High,WH03,Chem,Mature
REF-93332,49,36,265,17,6,Item_Desc_261,B223,Closed,West,Service,Low,WH99,Chem,Mature
REF-94270,22,13,435,8,12,Item_Desc_789,B594,Hold,West,Raw,Medium,WH03,Mech,EndOL
REF-44034,24,17,143,14,18,Item_Desc_529,B402,Active,West,Finished,Low,WH01,Chem,EndOL
