Target_Status,Target_Plant,Target_Group,Target_Class,Target_Storage_Loc,Target_Mat_Grp,Target_MRP_Type,Target_Qty,Target_Weight,Target_Cost,Target_Safety_Stock,Target_Volume,Target_Ref_ID,Target_Description,Target_Batch_Id
99,PLANT_TX,GRP_C,CLASS_3,SL_002,MG_CH,ND,58,55,253,15,52,REF-29245_LEG,Item_Desc_73 [MIG],B158-2024
20,PLANT_TX,GRP_C,CLASS_1,SL_002,MG_CH,ND,86,24,305,11,39,REF-14523_LEG,Item_Desc_14 [MIG],B290-2024
10,PLANT_TX,GRP_A,CLASS_3,SL_003,MG_ME,ND,73,35,396,15,10,REF-62571_LEG,Item_Desc_17 [MIG],B933-2024
10,PLANT_NY,GRP_C,CLASS_1,SL_001,MG_ME,PD,40,24,348,19,59,REF-68868_LEG,Item_Desc_620 [MIG],B956-2024
99,PLANT_TX,GRP_C,CLASS_1,SL_002,MG_CH,VB,67,41,489,24,85,REF-37709_LEG,Item_Desc_362 [MIG],B139-2024
10,PLANT_TX,GRP_B,CLASS_2,SL_001,MG_EL,PD,59,20,246,26,68,REF-64957_LEG,Item_Desc_612 [MIG],B228-2024
99,PLANT_NY,GRP_C,CLASS_2,SL_002,MG_EL,ND,74,36,308,14,83,REF-69990_LEG,Item_Desc_709 [MIG],B254-2024
20,PLANT_CA,GRP_B,CLASS_1,SL_OBS,MG_CH,PD,34,23,276,25,27,REF-98086_LEG,Item_Desc_492 [MIG],B551-2024
20,PLANT_TX,GRP_A,CLASS_1,SL_002,MG_CH,ND,73,36,273,26,30,REF-97514_LEG,Item_Desc_885 [MIG],B917-2024
99,PLANT_CA,GRP_B,CLASS_2,SL_002,MG_CH,PD,79,53,593,27,12,REF-17996_LEG,Item_Desc_322 [MIG],B907-2024
10,PLANT_NY,GRP_A,CLASS_2,SL_002,MG_ME,PD,98,29,417,19,63,REF-37017_LEG,Item_Desc_172 [MIG],B437-2024
10,PLANT_TX,GRP_B,CLASS_2,SL_002,MG_CH,ND,91,28,354,26,75,REF-59141_LEG,Item_Desc_506 [MIG],B337-2024
20,PLANT_CA,GRP_C,CLASS_3,SL_001,MG_EL,ND,35,38,298,28,68,REF-27872_LEG,Item_Desc_69 [MIG],B985-2024
20,PLANT_TX,GRP_B,CLASS_1,SL_OBS,MG_ME,ND,39,26,516,22,41,REF-42608_LEG,Item_Desc_603 [MIG],B932-2024
20,PLANT_NY,GRP_C,CLASS_3,SL_OBS,MG_EL,PD,22,47,232,30,16,REF-39328_LEG,Item_Desc_87 [MIG],B757-2024
20,PLANT_CA,GRP_B,CLASS_2,SL_003,MG_CH,VB,23,18,244,17,52,REF-31024_LEG,Item_Desc_622 [MIG],B327-2024
99,PLANT_NY,GRP_A,CLASS_1,SL_003,MG_ME,PD,32,23,166,12,68,REF-14181_LEG,Item_Desc_854 [MIG],B403-2024
20,PLANT_TX,GRP_A,CLASS_1,SL_002,MG_ME,VB,44,16,424,27,68,REF-78382_LEG,Item_Desc_924 [MIG],B124-2024
99,PLANT_CA,GRP_B,CLASS_2,SL_OBS,MG_CH,VB,19,35,310,19,75,REF-85211_LEG,Item_Desc_272 [MIG],B910-2024
99,PLANT_CA,GRP_C,CLASS_1,SL_003,MG_CH,PD,41,33,236,15,7,REF-63398_LEG,Item_Desc_324 [MIG],B328-2024
99,PLANT_CA,GRP_C,CLASS_3,SL_OBS,MG_CH,PD,49,41,365,27,8,REF-93332_LEG,Item_Desc_261 [MIG],B223-2024
20,PLANT_CA,GRP_A,CLASS_2,SL_003,MG_ME,VB,22,18,535,18,14,REF-94270_LEG,Item_Desc_789 [MIG],B594-2024
10,PLANT_CA,GRP_B,CLASS_3,SL_001,MG_CH,VB,24,22,243,24,20,REF-44034_LEG,Item_Desc_529 [MIG],B402-2024
99,PLANT_CA,GRP_B,CLASS_3,SL_003,MG_ME,ND,73,41,410,20,92,REF-26307_LEG,Item_Desc_948 [MIG],B159-2024
10,PLANT_TX,GRP_A,CLASS_2,SL_003,MG_EL,PD,76,32,319,30,54,REF-80021_LEG,Item_Desc_439 [MIG],B953-2024
20,PLANT_CA,GRP_B,CLASS_2,SL_001,MG_EL,PD,1,42,486,29,12,REF-75230_LEG,Item_Desc_529 [MIG],B235-2024
20,PLANT_TX,GRP_A,CLASS_2,SL_001,MG_CH,ND,97,16,316,19,49,REF-76573_LEG,Item_Desc_148 [MIG],B978-2024
99,PLANT_NY,GRP_C,CLASS_1,SL_002,MG_EL,PD,90,40,220,14,64,REF-39552_LEG,Item_Desc_290 [MIG],B813-2024
0,PLANT_TX,GRP_B,CLASS_1,SL_003,MG_ME,ND,43,46,218,28,51,REF-43836_LEG,Item_Desc_882 [MIG],B695-2024
99,PLANT_CA,GRP_C,CLASS_3,SL_003,MG_CH,ND,17,37,274,14,11,REF-21336_LEG,Item_Desc_538 [MIG],B829-2024
